,Time,BETR.,time,Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh],new_col
62,2021-01-01 15:45:00+01:00,641.576,2021-01-01 15:30:00,46.59,54.87,50.79,74.88,1.0
63,2021-01-01 16:00:00+01:00,440.584,2021-01-01 15:45:00,46.59,59.17,50.79,75.22,1.0
64,2021-01-01 16:15:00+01:00,256.03,2021-01-01 16:00:00,52.99,52.95,55.85,98.21,1.0
65,2021-01-01 16:30:00+01:00,133.424,2021-01-01 16:15:00,52.99,62.23,55.85,74.36,1.0
66,2021-01-01 16:45:00+01:00,65.885,2021-01-01 16:30:00,52.99,63.9,55.85,129.55,1.0
67,2021-01-01 17:00:00+01:00,-236.826,2021-01-01 16:45:00,52.99,67.16,55.85,32.09,1.0
68,2021-01-01 17:15:00+01:00,-262.199,2021-01-01 17:00:00,60.26,59.41,63.0,19.18,1.0
69,2021-01-01 17:30:00+01:00,-163.253,2021-01-01 17:15:00,60.26,61.4,63.0,31.80,1.0
70,2021-01-01 17:45:00+01:00,-211.105,2021-01-01 17:30:00,60.26,62.35,63.0,29.34,1.0
71,2021-01-01 18:00:00+01:00,-182.651,2021-01-01 17:45:00,60.26,61.51,63.0,27.46,1.0
72,2021-01-01 18:15:00+01:00,358.144,2021-01-01 18:00:00,60.61,62.43,62.15,76.07,1.0
73,2021-01-01 18:30:00+01:00,203.252,2021-01-01 18:15:00,60.61,61.33,62.15,69.57,1.0
74,2021-01-01 18:45:00+01:00,-36.181,2021-01-01 18:30:00,60.61,63.31,62.15,-30.30,1.0
75,2021-01-01 19:00:00+01:00,-205.899,2021-01-01 18:45:00,60.61,60.73,62.15,45.19,1.0
76,2021-01-01 19:15:00+01:00,-161.356,2021-01-01 19:00:00,60.36,71.16,62.97,11.64,1.0
77,2021-01-01 19:30:00+01:00,-335.089,2021-01-01 19:15:00,60.36,64.95,62.97,14.86,1.0
78,2021-01-01 19:45:00+01:00,-313.768,2021-01-01 19:30:00,60.36,59.63,62.97,14.47,1.0
79,2021-01-01 20:00:00+01:00,-494.465,2021-01-01 19:45:00,60.36,55.53,62.97,14.75,1.0
80,2021-01-01 20:15:00+01:00,-220.77,2021-01-01 20:00:00,57.4,65.57,59.78,1.72,1.0
81,2021-01-01 20:30:00+01:00,-102.432,2021-01-01 20:15:00,57.4,60.58,59.78,-2.05,1.0
82,2021-01-01 20:45:00+01:00,5.759,2021-01-01 20:30:00,57.4,52.96,59.78,78.71,1.0
83,2021-01-01 21:00:00+01:00,114.573,2021-01-01 20:45:00,57.4,49.66,59.78,52.01,1.0
84,2021-01-01 21:15:00+01:00,338.386,2021-01-01 21:00:00,53.86,61.23,54.1,93.80,1.0
85,2021-01-01 21:30:00+01:00,469.865,2021-01-01 21:15:00,53.86,56.88,54.1,71.75,1.0
86,2021-01-01 21:45:00+01:00,201.755,2021-01-01 21:30:00,53.86,51.19,54.1,62.81,1.0
87,2021-01-01 22:00:00+01:00,-75.131,2021-01-01 21:45:00,53.86,45.91,54.1,1.55,1.0
88,2021-01-01 22:15:00+01:00,-806.432,2021-01-01 22:00:00,53.45,85.54,58.46,10.05,1.0
89,2021-01-01 22:30:00+01:00,-897.519,2021-01-01 22:15:00,53.45,68.09,58.46,-4.40,1.0
90,2021-01-01 22:45:00+01:00,-491.538,2021-01-01 22:30:00,53.45,51.24,58.46,4.85,1.0
91,2021-01-01 23:00:00+01:00,-360.109,2021-01-01 22:45:00,53.45,38.46,58.46,7.38,1.0
92,2021-01-01 23:15:00+01:00,-666.433,2021-01-01 23:00:00,49.72,57.41,49.38,14.49,1.0
93,2021-01-01 23:30:00+01:00,-499.048,2021-01-01 23:15:00,49.72,52.74,49.38,10.63,1.0
94,2021-01-01 23:45:00+01:00,-5.358,2021-01-01 23:30:00,49.72,39.1,49.38,14.49,1.0
95,2021-01-01 00:00:00+01:00,43.939,2021-01-01 23:45:00,49.72,27.32,49.38,23.63,1.0
158,2021-01-02 15:45:00+01:00,-16.81,2021-01-02 15:30:00,53.45,55.74,55.87,-9.72,1.0
159,2021-01-02 16:00:00+01:00,-110.38,2021-01-02 15:45:00,53.45,56.75,55.87,43.24,1.0
160,2021-01-02 16:15:00+01:00,-60.236,2021-01-02 16:00:00,59.99,41.96,57.54,22.00,1.0
161,2021-01-02 16:30:00+01:00,-90.13,2021-01-02 16:15:00,59.99,54.95,57.54,18.29,1.0
162,2021-01-02 16:45:00+01:00,84.195,2021-01-02 16:30:00,59.99,57.43,57.54,64.24,1.0
