Time,,Time,BETR.,time,Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh],new_col,date,Year,multiplier,spread,PnL,Cum_PnL
2021-01-01,62,2021-01-01 15:45:00+01:00,641.576,2021-01-01 15:30:00,46.59,54.87,50.79,74.88,1,2021-01-01,2021,0,20.009999999999998,0.0,0.0
2021-01-01,63,2021-01-01 16:00:00+01:00,440.584,2021-01-01 15:45:00,46.59,59.17,50.79,75.22,2,2021-01-01,2021,0,16.049999999999997,0.0,0.0
2021-01-01,64,2021-01-01 16:15:00+01:00,256.03,2021-01-01 16:00:00,52.99,52.95,55.85,98.21,3,2021-01-01,2021,-1,45.25999999999999,-45.25999999999999,-45.25999999999999
2021-01-01,65,2021-01-01 16:30:00+01:00,133.424,2021-01-01 16:15:00,52.99,62.23,55.85,74.36,4,2021-01-01,2021,-1,12.130000000000003,-12.130000000000003,-57.38999999999999
2021-01-01,66,2021-01-01 16:45:00+01:00,65.885,2021-01-01 16:30:00,52.99,63.9,55.85,129.55,5,2021-01-01,2021,0,65.65,0.0,-57.38999999999999
2021-01-01,67,2021-01-01 17:00:00+01:00,-236.826,2021-01-01 16:45:00,52.99,67.16,55.85,32.09,6,2021-01-01,2021,0,-35.06999999999999,-0.0,-57.38999999999999
2021-01-01,68,2021-01-01 17:15:00+01:00,-262.199,2021-01-01 17:00:00,60.26,59.41,63.0,19.18,7,2021-01-01,2021,0,-40.23,-0.0,-57.38999999999999
2021-01-01,69,2021-01-01 17:30:00+01:00,-163.253,2021-01-01 17:15:00,60.26,61.4,63.0,31.8,8,2021-01-01,2021,0,-29.599999999999998,-0.0,-57.38999999999999
2021-01-01,70,2021-01-01 17:45:00+01:00,-211.105,2021-01-01 17:30:00,60.26,62.35,63.0,29.34,9,2021-01-01,2021,0,-33.010000000000005,-0.0,-57.38999999999999
2021-01-01,71,2021-01-01 18:00:00+01:00,-182.651,2021-01-01 17:45:00,60.26,61.51,63.0,27.46,10,2021-01-01,2021,0,-34.05,-0.0,-57.38999999999999
2021-01-01,72,2021-01-01 18:15:00+01:00,358.144,2021-01-01 18:00:00,60.61,62.43,62.15,76.07,11,2021-01-01,2021,-1,13.639999999999993,-13.639999999999993,-71.02999999999999
2021-01-01,73,2021-01-01 18:30:00+01:00,203.252,2021-01-01 18:15:00,60.61,61.33,62.15,69.57,12,2021-01-01,2021,-1,8.239999999999995,-8.239999999999995,-79.26999999999998
2021-01-01,74,2021-01-01 18:45:00+01:00,-36.181,2021-01-01 18:30:00,60.61,63.31,62.15,-30.3,13,2021-01-01,2021,-1,-93.61,93.61,14.340000000000018
2021-01-01,75,2021-01-01 19:00:00+01:00,-205.899,2021-01-01 18:45:00,60.61,60.73,62.15,45.19,14,2021-01-01,2021,-1,-15.54,15.54,29.880000000000017
2021-01-01,76,2021-01-01 19:15:00+01:00,-161.356,2021-01-01 19:00:00,60.36,71.16,62.97,11.64,15,2021-01-01,2021,-1,-59.519999999999996,59.519999999999996,89.4
2021-01-01,77,2021-01-01 19:30:00+01:00,-335.089,2021-01-01 19:15:00,60.36,64.95,62.97,14.86,16,2021-01-01,2021,-1,-50.09,50.09,139.49
2021-01-01,78,2021-01-01 19:45:00+01:00,-313.768,2021-01-01 19:30:00,60.36,59.63,62.97,14.47,17,2021-01-01,2021,-1,-45.160000000000004,45.160000000000004,184.65
