new_col,BETR.,Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh],sunset_indicator,multiplicator
1,96.70590697674419,149.72083333333333,152.23593023255816,149.84961240310076,159.6077281553398,1,0
2,43.827953488372096,152.0134496124031,157.22625968992247,152.2356589147287,156.04236434108526,2,0
3,-33.72579069767442,154.2937015503876,160.05468992248063,154.8182558139535,147.1747480620155,3,-1
4,-26.103162790697674,156.9011434108527,160.17065891472868,157.6236046511628,143.1188349514563,4,-1
5,96.36303294573644,157.6527131782946,163.64248062015506,159.00263565891473,168.8722373540856,5,0
6,165.2541414728682,159.39319767441862,166.47343023255812,160.50327519379846,182.95836893203884,6,0
7,174.166503875969,160.0880426356589,165.6284496124031,161.0437984496124,180.76898832684824,7,0
8,118.71602131782946,160.45666666666668,161.6998062015504,160.44527131782945,169.40247081712062,8,0
9,41.232988372093025,158.76067829457364,158.45926356589146,158.08881782945735,148.00839147286823,9,0
10,6.727238372093024,155.36622093023257,153.8529069767442,154.56056201550388,128.8647480620155,10,0
11,-23.408341085271317,150.85125968992247,151.4617054263566,150.67841085271317,117.3485436893204,11,-1
12,-14.329806201550388,146.8855426356589,147.31432170542635,146.9610852713178,118.62211650485436,12,-1
13,-2.442441117764471,145.7462874251497,142.28974051896208,145.7319760479042,123.21315369261477,13,-1
14,-14.89758620689655,147.1669827586207,142.17969827586208,147.09230603448276,115.7388146551724,14,-1
15,-19.633787037037035,146.48041666666666,142.7613888888889,146.19032407407408,122.53740740740741,15,-1
16,-9.00754207920792,143.12779702970298,142.2463613861386,143.2158415841584,124.3054094292804,16,-1
17,-7.657222222222223,141.5333597883598,138.1034656084656,141.08185185185187,123.98904761904762,17,-1
18,-2.2544787535410755,140.8853541076487,135.03039660056658,140.43657223796035,114.22033994334278,18,-1
19,9.149139393939393,139.5771515151515,135.0320303030303,139.22427272727273,126.77142424242425,19,0
20,6.6628823529411765,138.51683006535947,140.68898692810458,138.54081699346403,129.98754901960785,20,0
21,-6.952780141843973,138.9177304964539,135.20737588652483,138.91719858156029,119.20818505338079,21,-1
22,-32.21017391304348,136.2480072463768,132.34822463768117,136.96778985507245,118.39264492753622,22,-1
23,-42.05450929368029,133.26275092936802,131.1252788104089,134.3833085501859,118.58899628252787,23,-1
24,-26.027984790874523,128.48304182509506,135.35676806083652,130.393536121673,128.85072519083968,24,-1
25,-23.44814453125,127.84703125,127.4301171875,129.933828125,118.2684375,25,-1
26,-14.073407725321891,126.43025751072962,124.37549356223177,129.1449356223176,113.40094420600857,26,-1
27,-28.749923076923075,127.15951923076923,126.11913461538461,130.29158653846156,122.2229326923077,27,-1
28,-31.95794054054054,118.6325945945946,129.70178378378378,122.77929729729729,127.5645945945946,28,-1
29,-29.249626506024097,119.85144578313253,123.74524096385542,124.57512048192771,114.54596385542169,29,-1
30,-51.592686666666665,123.79326666666665,123.69693333333333,128.97899999999998,121.99459999999999,30,-1
31,-67.58011940298506,124.16955223880598,123.59783582089553,130.41873134328358,118.2665671641791,31,-1
32,-69.94008474576272,120.96508474576271,140.40906779661017,130.6584745762712,135.3065254237288,32,-1
33,-29.799876288659792,124.58422680412372,128.94010309278352,135.96721649484536,120.30762886597938,33,-1
34,-9.883161764705887,133.47926470588234,125.89235294117647,146.05455882352942,130.28191176470588,34,-1
35,3.6759090909090886,171.17272727272726,138.55545454545455,183.6039393939394,147.1830303030303,35,0
